DOM;HOUSE,HOME
DACH;ROOF
KOT;CAT
PIES;DOG
DRZEWO;TREE
OKNO;WINDOW
CHLEB;BREAD
WODA;WATER
KSIĄŻKA;BOOK
SAMOCHÓD;CAR
MIASTO;CITY,TOWN
JABŁKO;APPLE
KWIAT;FLOWER
SZKOŁA;SCHOOL
PRACA;WORK,JOB
NIEBO;SKY
SŁOŃCE;SUN
KSIĘŻYC;MOON
MORZE;SEA
RZEKA;RIVER
GÓRA;MOUNTAIN
DROGA;ROAD,WAY
CZAS;TIME
DZIEŃ;DAY
NOC;NIGHT
RODZINA;FAMILY
DZIECKO;CHILD,KID
MATKA;MOTHER
OJCIEC;FATHER
BRAT;BROTHER
SIOSTRA;SISTER
PRZYJACIEL;FRIEND
STÓŁ;TABLE
KRZESŁO;CHAIR
DRZWI;DOOR
ŁÓŻKO;BED
KUCHNIA;KITCHEN
ŁAZIENKA;BATHROOM
UBRANIE;CLOTHES
BUTY;SHOES
GŁOWA;HEAD
RĘKA;HAND,ARM
NOGA;LEG
SERCE;HEART
JEDZENIE;FOOD
OWOC;FRUIT
WARZYWO;VEGETABLE
PTAK;BIRD
RYBA;FISH
LAS;FOREST,WOOD
POCIĄG;TRAIN
ROWER;BICYCLE
